onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
28.359375	0.2	58080	0	8	0	0	0	0	249	stimuli\Videos_short_600ms_horvertflip\72.(short)stroke_with_finger_all_over_the_hand_short_horvertflip_short_600ms.mp4	72.(short)stroke_with_finger_all_over_the_hand_short_horvertflip_short_600ms.mp4	50.10446973375838	50.71230121027429	0.6078314765159121	n/a	n/a	n/a	n/a
29.1591796875	0.2	59718	1	8	0	0	0	1	314	stimuli\Videos_short_600ms_vertflip\5.repeated_tap_with_finger_moving_from_top_to_bottom_short_vertflip_short_600ms.mp4	5.repeated_tap_with_finger_moving_from_top_to_bottom_short_vertflip_short_600ms.mp4	50.90401995697539	51.51227986215213	0.6082599051767374	n/a	n/a	n/a	n/a
29.958984375	0.2	61356	2	8	0	0	0	2	194	stimuli\Videos_short_600ms_horvertflip\22.single_touch_with_metal_chopstick_short_horvertflip_short_600ms.mp4	22.single_touch_with_metal_chopstick_short_horvertflip_short_600ms.mp4	51.704041422394766	52.31225528835216	0.6082138659573957	n/a	n/a	n/a	n/a
30.75927734375	0.2	62995	3	8	0	0	0	3	356	stimuli\Videos_short_600ms_vertflip\88.repeated_stroke_with_plastic_brush_short_vertflip_short_600ms.mp4	88.repeated_stroke_with_plastic_brush_short_vertflip_short_600ms.mp4	52.50403151076671	53.11222954157847	0.6081980308117636	n/a	n/a	n/a	n/a
31.55908203125	0.2	64633	4	8	0	0	0	4	215	stimuli\Videos_short_600ms_horvertflip\41.injection_with_blunt_syringe_short_horvertflip_short_600ms.mp4	41.injection_with_blunt_syringe_short_horvertflip_short_600ms.mp4	53.30388817337485	53.91222138941089	0.6083332160360442	n/a	n/a	n/a	n/a
32.35888671875	0.2	66271	5	8	0	0	0	5	2	stimuli\Videos_short_600ms\11.single_touch_with_lighter_short_short_600ms.mp4	11.single_touch_with_lighter_short_short_600ms.mp4	54.10394658746736	54.71219183047242	0.608245243005058	n/a	n/a	n/a	n/a
33.1591796875	0.2	67910	6	8	0	0	0	6	97	stimuli\Videos_short_600ms_horflip\16.repeated_touch_with_plastic_brush_short_horflip_short_600ms.mp4	16.repeated_touch_with_plastic_brush_short_horflip_short_600ms.mp4	54.90388447850751	55.512146143144946	0.608261664637439	n/a	n/a	n/a	n/a
33.958984375	0.2	69548	7	8	0	0	0	7	234	stimuli\Videos_short_600ms_horvertflip\59.single_push_with_long_side_pencil_short_horvertflip_short_600ms.mp4	59.single_push_with_long_side_pencil_short_horvertflip_short_600ms.mp4	55.70386166416824	56.31214590855029	0.6082842443820482	n/a	n/a	n/a	n/a
34.7587890625	0.2	71186	8	8	0	0	0	8	54	stimuli\Videos_short_600ms\59.single_push_with_long_side_pencil_short_short_600ms.mp4	59.single_push_with_long_side_pencil_short_short_600ms.mp4	56.503782840332406	57.112132184757456	0.6083493444250507	n/a	n/a	n/a	n/a
35.55908203125	0.2	72825	9	8	0	0	1	9	381	stimuli\Targets_short_600ms_vertflip\finger-tap_short_horvertflip_short_600ms.mp4	finger-tap_short_horvertflip_short_600ms.mp4	57.30382483279254	57.912107024470515	0.6082821916779722	n/a	n/a	n/a	n/a
