onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
21.95556640625	0.2	44965	0	36	0	0	0	0	12	stimuli\Videos_short_600ms\20.single_touch_with_screwdriver_short_short_600ms.mp4	20.single_touch_with_screwdriver_short_short_600ms.mp4	129.44072270834113	130.05229116772216	0.6115684593810329	n/a	n/a	n/a	n/a
22.75537109375	0.2	46603	1	36	0	0	0	1	201	stimuli\Videos_short_600ms_horvertflip\29.single_pinch_with_tweezers_short_horvertflip_short_600ms.mp4	29.single_pinch_with_tweezers_short_horvertflip_short_600ms.mp4	130.24395614578634	130.8522739835612	0.6083178377748482	n/a	n/a	n/a	n/a
23.5556640625	0.2	48242	2	36	0	0	0	2	90	stimuli\Videos_short_600ms_horflip\1.repeated_touch_with_finger_fast_short_horflip_short_600ms.mp4	1.repeated_touch_with_finger_fast_short_horflip_short_600ms.mp4	131.04393514943922	131.65225797238054	0.608322822941318	n/a	n/a	n/a	n/a
24.35546875	0.2	49880	3	36	0	0	0	3	169	stimuli\Videos_short_600ms_horflip\81.single_stroke_top_to_bottom_with_cotton_pad_short_horflip_short_600ms.mp4	81.single_stroke_top_to_bottom_with_cotton_pad_short_horflip_short_600ms.mp4	131.84391913825812	132.452239908484	0.6083207702258733	n/a	n/a	n/a	n/a
25.1552734375	0.2	51518	4	36	0	0	0	4	153	stimuli\Videos_short_600ms_horflip\67.single_touch_with_sponge_short_horflip_short_600ms.mp4	67.single_touch_with_sponge_short_horflip_short_600ms.mp4	132.64390342032266	133.25222243107785	0.6083190107551673	n/a	n/a	n/a	n/a
25.95556640625	0.2	53157	5	36	0	0	0	5	319	stimuli\Videos_short_600ms_vertflip\54.repeated_touch_with_knife_short_vertflip_short_600ms.mp4	54.repeated_touch_with_knife_short_vertflip_short_600ms.mp4	133.44388682265162	134.0522067131419	0.6083198904902929	n/a	n/a	n/a	n/a
26.75537109375	0.2	54795	6	36	0	0	0	6	54	stimuli\Videos_short_600ms\59.single_push_with_long_side_pencil_short_short_600ms.mp4	59.single_push_with_long_side_pencil_short_short_600ms.mp4	134.24386377358906	134.85218982222614	0.6083260486370818	n/a	n/a	n/a	n/a
27.55517578125	0.2	56433	7	36	0	0	0	7	313	stimuli\Videos_short_600ms_vertflip\49.repeated_slap_with_hand_short_vertflip_short_600ms.mp4	49.repeated_slap_with_hand_short_vertflip_short_600ms.mp4	135.04388617751238	135.65217117183963	0.6082849943272777	n/a	n/a	n/a	n/a
28.35546875	0.2	58072	8	36	0	0	0	8	336	stimuli\Videos_short_600ms_vertflip\7.repeated_touch_with_hairbrush_short_vertflip_short_600ms.mp4	7.repeated_touch_with_hairbrush_short_vertflip_short_600ms.mp4	135.8438167957288	136.4521583863543	0.6083415906255141	n/a	n/a	n/a	n/a
29.1552734375	0.2	59710	9	36	0	0	0	9	193	stimuli\Videos_short_600ms_horvertflip\21.repeated_touch_with_metal_chopstick_short_horvertflip_short_600ms.mp4	21.repeated_touch_with_metal_chopstick_short_horvertflip_short_600ms.mp4	136.64379726560674	137.2521391494779	0.6083418838711623	n/a	n/a	n/a	n/a
29.955078125	0.2	61348	10	36	0	0	0	10	292	stimuli\Videos_short_600ms_vertflip\3.single_push_with_finger_short_vertflip_short_600ms.mp4	3.single_push_with_finger_short_vertflip_short_600ms.mp4	137.44377920171064	138.05212225856167	0.6083430568510266	n/a	n/a	n/a	n/a
30.75537109375	0.2	62987	11	36	0	0	0	11	349	stimuli\Videos_short_600ms_vertflip\81.single_stroke_top_to_bottom_with_cotton_pad_short_vertflip_short_600ms.mp4	81.single_stroke_top_to_bottom_with_cotton_pad_short_vertflip_short_600ms.mp4	138.2437772662929	138.85210566089063	0.60832839459772	n/a	n/a	n/a	n/a
31.55517578125	0.2	64625	12	36	0	0	0	12	136	stimuli\Videos_short_600ms_horflip\51.repeated_touch_with_hammer_short_horflip_short_600ms.mp4	51.repeated_touch_with_hammer_short_horflip_short_600ms.mp4	139.04377562412083	139.65208583752383	0.6083102134030014	n/a	n/a	n/a	n/a
32.35498046875	0.2	66263	13	36	0	0	0	13	65	stimuli\Videos_short_600ms\69.stroke_with_soft_sock_short_short_600ms.mp4	69.stroke_with_soft_sock_short_short_600ms.mp4	139.84375580075402	140.4520704128331	0.6083146120790843	n/a	n/a	n/a	n/a
33.1552734375	0.2	67902	14	36	0	0	0	14	162	stimuli\Videos_short_600ms_horflip\75.(long)stroke_with_fingers_all_over_the_hand_short_horflip_short_600ms.mp4	75.(long)stroke_with_fingers_all_over_the_hand_short_horflip_short_600ms.mp4	140.64373421791697	141.25202976906667	0.6082955511496948	n/a	n/a	n/a	n/a
33.955078125	0.2	69540	15	36	0	0	0	15	243	stimuli\Videos_short_600ms_horvertflip\67.single_touch_with_sponge_short_horvertflip_short_600ms.mp4	67.single_touch_with_sponge_short_horvertflip_short_600ms.mp4	141.44371674051035	142.0520372174915	0.6083204769811346	n/a	n/a	n/a	n/a
34.7548828125	0.2	71178	16	36	0	0	0	16	61	stimuli\Videos_short_600ms\65.stroke_top_to_bottom_with_stanley_knife_short_short_600ms.mp4	65.stroke_top_to_bottom_with_stanley_knife_short_short_600ms.mp4	142.24371480509308	142.8520182738598	0.608303468766735	n/a	n/a	n/a	n/a
35.55517578125	0.2	72817	17	36	0	0	0	17	248	stimuli\Videos_short_600ms_horvertflip\71.single_stroke_with_finger_top_to_bottom_short_horvertflip_short_600ms.mp4	71.single_stroke_with_finger_top_to_bottom_short_horvertflip_short_600ms.mp4	143.04368941006987	143.65200167618875	0.6083122661189009	n/a	n/a	n/a	n/a
36.35498046875	0.2	74455	18	36	0	0	0	18	287	stimuli\Videos_short_600ms_vertflip\25.single_touch_with_stanley_knife_short_vertflip_short_600ms.mp4	25.single_touch_with_stanley_knife_short_vertflip_short_600ms.mp4	143.84366958670307	144.45199182315446	0.6083222364513858	n/a	n/a	n/a	n/a
37.15478515625	0.2	76093	19	36	0	0	0	19	348	stimuli\Videos_short_600ms_vertflip\80.stroke_with_sharp_stick_all_over_the_hand_short_vertflip_short_600ms.mp4	80.stroke_with_sharp_stick_all_over_the_hand_short_vertflip_short_600ms.mp4	144.6436521092969	145.2519740525031	0.6083219432061924	n/a	n/a	n/a	n/a
37.955078125	0.2	77732	20	36	0	0	1	20	363	stimuli\Targets_short_600ms\finger-tap_short_short_600ms.mp4	finger-tap_short_short_600ms.mp4	145.44363609811626	146.05195774807726	0.6083216499609989	n/a	n/a	n/a	n/a
38.7548828125	0.2	79370	21	36	0	0	0	21	150	stimuli\Videos_short_600ms_horflip\64.repeated_touch_with_screwdriver_short_horflip_short_600ms.mp4	64.repeated_touch_with_screwdriver_short_horflip_short_600ms.mp4	146.24361744772978	146.85195229371902	0.6083348459892477	n/a	n/a	n/a	n/a
39.55517578125	0.2	81009	22	36	0	0	0	22	50	stimuli\Videos_short_600ms\55.touch_top_to_bottom_with_nail_file_short_short_600ms.mp4	55.touch_top_to_bottom_with_nail_file_short_short_600ms.mp4	147.04360231628425	147.65192191352935	0.6083195972450994	n/a	n/a	n/a	n/a
40.35498046875	0.2	82647	23	36	0	0	0	23	23	stimuli\Videos_short_600ms\30.finger_pulling_back_another_finger_short_short_600ms.mp4	30.finger_pulling_back_another_finger_short_short_600ms.mp4	147.84358630510314	148.45190678208382	0.6083204769806798	n/a	n/a	n/a	n/a
41.15478515625	0.2	84285	24	36	0	0	0	24	310	stimuli\Videos_short_600ms_vertflip\46.scratching_top_to_bottom_with_finger_nails_short_vertflip_short_600ms.mp4	46.scratching_top_to_bottom_with_finger_nails_short_vertflip_short_600ms.mp4	148.64356765471666	149.2518901844128	0.6083225296961245	n/a	n/a	n/a	n/a
41.955078125	0.2	85924	25	36	0	0	0	25	211	stimuli\Videos_short_600ms_horvertflip\38.double_slap_with_pencil_short_horvertflip_short_600ms.mp4	38.double_slap_with_pencil_short_horvertflip_short_600ms.mp4	149.4435595611526	150.05187475972207	0.6083151985694712	n/a	n/a	n/a	n/a
42.7548828125	0.2	87562	26	36	0	0	0	26	94	stimuli\Videos_short_600ms_horflip\13.single_touch_with_pen_short_horflip_short_600ms.mp4	13.single_touch_with_pen_short_horflip_short_600ms.mp4	150.24433883060328	150.85186109450206	0.6075222638987725	n/a	n/a	n/a	n/a
43.5546875	0.2	89200	27	36	0	0	0	27	273	stimuli\Videos_short_600ms_vertflip\12.repeated_touch_with_nail_file_short_vertflip_short_600ms.mp4	12.repeated_touch_with_nail_file_short_vertflip_short_600ms.mp4	151.04354659972068	151.6518392184198	0.6082926186991244	n/a	n/a	n/a	n/a
44.35498046875	0.2	90839	28	36	0	0	0	28	284	stimuli\Videos_short_600ms_vertflip\22.single_touch_with_metal_chopstick_short_vertflip_short_600ms.mp4	22.single_touch_with_metal_chopstick_short_vertflip_short_600ms.mp4	151.84372970194272	152.45182144776845	0.6080917458257318	n/a	n/a	n/a	n/a
45.15478515625	0.2	92477	29	36	0	0	0	29	231	stimuli\Videos_short_600ms_horvertflip\56.repeated_touch_with_nail_file_short_horvertflip_short_600ms.mp4	56.repeated_touch_with_nail_file_short_horvertflip_short_600ms.mp4	152.64349082450826	153.25180690281286	0.6083160783045969	n/a	n/a	n/a	n/a
45.95458984375	0.2	94115	30	36	0	0	0	30	339	stimuli\Videos_short_600ms_vertflip\72.(short)stroke_with_finger_all_over_the_hand_short_vertflip_short_600ms.mp4	72.(short)stroke_with_finger_all_over_the_hand_short_vertflip_short_600ms.mp4	153.4437662989276	154.05178883891676	0.6080225399891788	n/a	n/a	n/a	n/a
46.7548828125	0.2	95754	31	36	0	0	0	31	102	stimuli\Videos_short_600ms_horflip\20.single_touch_with_screwdriver_short_horflip_short_600ms.mp4	20.single_touch_with_screwdriver_short_horflip_short_600ms.mp4	154.24345440347042	154.85176344389356	0.608309040423137	n/a	n/a	n/a	n/a
47.5546875	0.2	97392	32	36	0	0	0	32	197	stimuli\Videos_short_600ms_horvertflip\25.single_touch_with_stanley_knife_short_horvertflip_short_600ms.mp4	25.single_touch_with_stanley_knife_short_horvertflip_short_600ms.mp4	155.0434134664588	155.6517509516534	0.6083374851946246	n/a	n/a	n/a	n/a
48.3544921875	0.2	99030	33	36	0	0	0	33	226	stimuli\Videos_short_600ms_horvertflip\51.repeated_touch_with_hammer_short_horvertflip_short_600ms.mp4	51.repeated_touch_with_hammer_short_horvertflip_short_600ms.mp4	155.84342795276507	156.4517408053739	0.608312852608833	n/a	n/a	n/a	n/a
49.15478515625	0.2	100669	34	36	0	0	0	34	55	stimuli\Videos_short_600ms\6.single_touch_with_flat_hand_short_short_600ms.mp4	6.single_touch_with_flat_hand_short_short_600ms.mp4	156.64340197125193	157.25172332796774	0.6083213567158055	n/a	n/a	n/a	n/a
