onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
23.43017578125	0.2	47985	0	60	0	0	0	0	189	stimuli\Videos_short_600ms_horvertflip\18.single_stroke_from_top_to_bottom_with_rolling_pin_short_horvertflip_short_600ms.mp4	18.single_stroke_from_top_to_bottom_with_rolling_pin_short_horvertflip_short_600ms.mp4	41.00458048800101	41.61286079040656	0.6082803024055465	n/a	n/a	n/a	n/a
24.22998046875	0.2	49623	1	60	0	0	0	1	60	stimuli\Videos_short_600ms\64.repeated_touch_with_screwdriver_short_short_600ms.mp4	64.repeated_touch_with_screwdriver_short_short_600ms.mp4	41.80513161278577	42.41283656836458	0.6077049555788108	n/a	n/a	n/a	n/a
25.0302734375	0.2	51262	2	60	0	0	0	2	323	stimuli\Videos_short_600ms_vertflip\58.single_slap_with_pencil_short_vertflip_short_600ms.mp4	58.single_slap_with_pencil_short_vertflip_short_600ms.mp4	42.60512029352685	43.21287040884454	0.6077501153176854	n/a	n/a	n/a	n/a
25.830078125	0.2	52900	3	60	0	0	0	3	292	stimuli\Videos_short_600ms_vertflip\3.single_push_with_finger_short_vertflip_short_600ms.mp4	3.single_push_with_finger_short_vertflip_short_600ms.mp4	43.4045491694269	44.01282829885349	0.6082791294265917	n/a	n/a	n/a	n/a
26.6298828125	0.2	54538	4	60	0	0	0	4	97	stimuli\Videos_short_600ms_horflip\16.repeated_touch_with_plastic_brush_short_horflip_short_600ms.mp4	16.repeated_touch_with_plastic_brush_short_horflip_short_600ms.mp4	44.20450412698483	44.81280935522227	0.608305228237441	n/a	n/a	n/a	n/a
27.43017578125	0.2	56177	5	60	0	0	0	5	329	stimuli\Videos_short_600ms_vertflip\63.stroke_top_to_bottom_with_screwdriver_short_vertflip_short_600ms.mp4	63.stroke_top_to_bottom_with_screwdriver_short_vertflip_short_600ms.mp4	45.00447052109848	45.61281621715534	0.6083456960568583	n/a	n/a	n/a	n/a
28.22998046875	0.2	57815	6	60	0	0	0	6	218	stimuli\Videos_short_600ms_horvertflip\44.pushing_top_to_bottom_with_finger_short_horvertflip_short_600ms.mp4	44.pushing_top_to_bottom_with_finger_short_horvertflip_short_600ms.mp4	45.80451609138254	46.41279170186863	0.6082756104860891	n/a	n/a	n/a	n/a
29.02978515625	0.2	59453	7	60	0	0	0	7	249	stimuli\Videos_short_600ms_horvertflip\72.(short)stroke_with_finger_all_over_the_hand_short_horvertflip_short_600ms.mp4	72.(short)stroke_with_finger_all_over_the_hand_short_horvertflip_short_600ms.mp4	46.604646995981966	47.21277451770766	0.6081275217256916	n/a	n/a	n/a	n/a
29.830078125	0.2	61092	8	60	0	0	0	8	339	stimuli\Videos_short_600ms_vertflip\72.(short)stroke_with_finger_all_over_the_hand_short_vertflip_short_600ms.mp4	72.(short)stroke_with_finger_all_over_the_hand_short_vertflip_short_600ms.mp4	47.40450166372648	48.01275850652564	0.6082568427991646	n/a	n/a	n/a	n/a
30.6298828125	0.2	62730	9	60	0	0	0	9	181	stimuli\Videos_short_600ms_horvertflip\10.single_touch_with_knife_short_horvertflip_short_600ms.mp4	10.single_touch_with_knife_short_horvertflip_short_600ms.mp4	48.20446952406565	48.81269762884949	0.6082281047838478	n/a	n/a	n/a	n/a
